,FIRE_YEAR,STATE,NWCG_REPORTING_AGENCY,Count
191,1993,AL,FS,113
192,1993,AL,FWS,10
193,1993,AL,NPS,14
194,1993,AR,FS,131
195,1993,AR,FWS,11
196,1993,AR,NPS,9
197,1993,AZ,BIA,2045
198,1993,AZ,BLM,305
199,1993,AZ,FS,1356
200,1993,AZ,FWS,11
201,1993,AZ,NPS,103
202,1993,AZ,ST/C&L,816
203,1993,CA,BIA,206
204,1993,CA,BLM,376
205,1993,CA,FS,1672
206,1993,CA,FWS,48
207,1993,CA,NPS,157
208,1993,CA,ST/C&L,5809
209,1993,CO,BIA,62
210,1993,CO,BLM,392
211,1993,CO,FS,302
212,1993,CO,FWS,1
213,1993,CO,NPS,35
214,1993,CO,ST/C&L,452
215,1993,CT,NPS,1
216,1993,CT,ST/C&L,102
217,1993,DC,NPS,7
218,1993,DE,FWS,1
219,1993,FL,BIA,20
220,1993,FL,FS,206
221,1993,FL,FWS,69
222,1993,FL,NPS,90
223,1993,FL,ST/C&L,4162
224,1993,FL,TRIBE,1
225,1993,GA,FS,74
226,1993,GA,FWS,25
227,1993,GA,NPS,8
228,1993,GA,ST/C&L,9004
229,1993,HI,NPS,11
230,1993,HI,ST/C&L,3
231,1993,IA,BIA,3
232,1993,IA,FWS,3
233,1993,ID,BIA,6
234,1993,ID,BLM,94
235,1993,ID,FS,397
236,1993,ID,NPS,2
237,1993,ID,ST/C&L,196
238,1993,ID,TRIBE,3
239,1993,IL,FS,2
240,1993,IL,FWS,3
241,1993,IN,FS,6
242,1993,IN,NPS,50
243,1993,KS,FS,3
244,1993,KS,FWS,10
245,1993,KS,ST/C&L,1
246,1993,KY,FS,79
247,1993,KY,NPS,2
248,1993,LA,FS,82
249,1993,LA,FWS,45
250,1993,MA,NPS,4
251,1993,MD,FWS,9
252,1993,MD,NPS,2
253,1993,ME,FWS,2
254,1993,ME,NPS,8
255,1993,ME,ST/C&L,661
256,1993,ME,TRIBE,1
257,1993,MI,BIA,1
258,1993,MI,FS,34
259,1993,MI,NPS,4
260,1993,MI,ST/C&L,223
261,1993,MN,BIA,33
262,1993,MN,FS,65
263,1993,MN,FWS,15
264,1993,MN,NPS,3
265,1993,MN,ST/C&L,1247
266,1993,MO,FS,109
267,1993,MO,NPS,8
268,1993,MO,ST/C&L,789
269,1993,MS,FS,129
270,1993,MS,FWS,22
271,1993,MS,NPS,30
272,1993,MS,ST/C&L,3834
273,1993,MT,BIA,301
274,1993,MT,BLM,19
275,1993,MT,FS,231
276,1993,MT,FWS,5
277,1993,MT,NPS,1
278,1993,MT,ST/C&L,186
279,1993,NC,BIA,8
280,1993,NC,FS,109
281,1993,NC,FWS,15
282,1993,NC,NPS,5
283,1993,NC,ST/C&L,4671
284,1993,ND,BIA,361
285,1993,ND,FS,3
286,1993,ND,FWS,18
287,1993,ND,NPS,4
288,1993,NE,BIA,5
289,1993,NE,FS,1
290,1993,NE,FWS,10
291,1993,NE,NPS,1
292,1993,NH,FS,2
293,1993,NH,ST/C&L,140
294,1993,NJ,FWS,3
295,1993,NJ,NPS,6
296,1993,NJ,ST/C&L,833
297,1993,NM,BIA,360
298,1993,NM,BLM,184
299,1993,NM,FS,652
300,1993,NM,FWS,7
301,1993,NM,NPS,41
302,1993,NM,ST/C&L,564
303,1993,NV,BIA,6
304,1993,NV,BLM,298
