,FIRE_YEAR,STATE,FIRE_SIZE
215,1996,ID,896659.9
216,1996,IL,149.8
217,1996,IN,495.0
218,1996,KS,147570.4
219,1996,KY,1117.8
220,1996,LA,8254.1
221,1996,MA,2.2
222,1996,MD,312.1
223,1996,ME,403.35
224,1996,MI,2921.7
225,1996,MN,29633.94
226,1996,MO,8538.3
227,1996,MS,101707.7
228,1996,MT,208840.13
229,1996,NC,17358.0
230,1996,ND,4801.8
231,1996,NE,8278.3
232,1996,NH,95.734
233,1996,NJ,929.6
234,1996,NM,171645.96
235,1996,NV,627483.5
236,1996,NY,417.3
237,1996,OH,70.3
238,1996,OK,207480.0
239,1996,OR,590641.84
240,1996,PA,18.9
241,1996,PR,502.0
242,1996,SC,28609.6
243,1996,SD,18689.02
244,1996,TN,484.09999999999997
245,1996,TX,215923.0
246,1996,UT,511165.79
247,1996,VA,3259.5
248,1996,WA,148134.1
249,1996,WI,2927.94
250,1996,WV,5858.5
251,1996,WY,270174.35
252,1997,AK,2026144.5
253,1997,AL,22055.4
254,1997,AR,11442.4
255,1997,AZ,13356.9
256,1997,CA,324565.7
257,1997,CO,6038.2
258,1997,CT,600.35
259,1997,DC,0.30000000000000004
260,1997,DE,24.6
261,1997,FL,133163.9
262,1997,GA,21908.14
263,1997,HI,52.0
264,1997,IA,93.0
265,1997,ID,42902.4
266,1997,IL,13.700000000000001
267,1997,IN,83.0
268,1997,KS,11410.4
269,1997,KY,11612.7
270,1997,LA,21649.0
271,1997,MA,5.4
272,1997,MD,181.70000000000002
273,1997,ME,896.77
274,1997,MI,552.1
275,1997,MN,20708.74
276,1997,MO,23939.7
277,1997,MS,32353.6
278,1997,MT,11343.13
279,1997,NC,17412.0
280,1997,ND,6203.8
281,1997,NE,18129.5
282,1997,NH,108.17
283,1997,NJ,4767.8
284,1997,NM,169966.5
285,1997,NV,41857.4
286,1997,NY,1421.8
287,1997,OH,41.5
288,1997,OK,36624.9
289,1997,OR,24603.940000000002
290,1997,PA,107.7
291,1997,PR,82.8
292,1997,SC,25238.5
293,1997,SD,4318.61
294,1997,TN,13043.7
295,1997,TX,46779.9
296,1997,UT,32525.21
297,1997,VA,5199.3
298,1997,VT,3.0
299,1997,WA,27563.1
300,1997,WI,2621.6
301,1997,WV,7534.95
302,1997,WY,8315.6
303,1998,AK,120782.1
304,1998,AL,35560.6
305,1998,AR,13023.1
306,1998,AZ,27378.8
307,1998,CA,160008.5
308,1998,CO,8379.2
309,1998,CT,131.9
310,1998,DC,4.3999999999999995
311,1998,FL,377720.5
312,1998,GA,45909.78
313,1998,HI,31675.2
314,1998,IA,70.0
315,1998,ID,151299.3
316,1998,IL,165.3
317,1998,IN,175.0
318,1998,KS,5207.1
319,1998,KY,24966.3
320,1998,LA,34126.2
321,1998,MA,3.0
322,1998,MD,544.0
323,1998,ME,1547.8200000000002
324,1998,MI,3959.0
325,1998,MN,49139.65001
326,1998,MO,10981.8
327,1998,MS,39648.8
328,1998,MT,101357.17
329,1998,NC,16913.4
330,1998,ND,7760.1
331,1998,NE,14110.1
332,1998,NH,257.02
333,1998,NJ,1320.44
334,1998,NM,97959.56
335,1998,NV,91363.7
336,1998,NY,1695.71
337,1998,OH,203.4
338,1998,OK,22800.8
339,1998,OR,83099.62
340,1998,PA,54.2
341,1998,PR,1.0
342,1998,SC,16369.0
343,1998,SD,14072.83
344,1998,TN,20857.1
345,1998,TX,136550.6
346,1998,UT,96563.06999999999
347,1998,VA,9279.1
348,1998,VT,14.0
349,1998,WA,111620.59999999999
350,1998,WI,4095.52
351,1998,WV,20567.31
352,1998,WY,4649.6
353,1999,AK,1005843.69999
354,1999,AL,52548.2
355,1999,AR,24032.3
356,1999,AZ,73799.0
357,1999,CA,804123.2
358,1999,CO,20313.9
359,1999,CT,1672.46
360,1999,DC,2.1
361,1999,DE,507.0
362,1999,FL,413350.0
363,1999,GA,73112.0
364,1999,HI,15129.5
365,1999,IA,435.6
366,1999,ID,416185.72000000003
367,1999,IL,497.2
368,1999,IN,764.1999999999999
369,1999,KS,6531.6
370,1999,KY,125633.8
371,1999,LA,37623.0
372,1999,MA,1.5
373,1999,MD,1625.7
374,1999,ME,1061.27
375,1999,MI,10031.1
376,1999,MN,32858.86
377,1999,MO,35498.9
378,1999,MS,66126.9
379,1999,MT,118959.14
380,1999,NC,25060.6
381,1999,ND,70997.6
382,1999,NE,118550.5
383,1999,NH,16.2
384,1999,NJ,16030.3
385,1999,NM,82559.04
386,1999,NV,1773486.6
387,1999,NY,6073.45
388,1999,OH,705.1
389,1999,OK,40669.7
390,1999,OR,72161.93
391,1999,PA,493.8
392,1999,SC,35934.4
393,1999,SD,80370.2253
394,1999,TN,42251.4
395,1999,TX,91028.2
396,1999,UT,148497.92
397,1999,VA,19266.2
398,1999,VT,10.5
399,1999,WA,26175.17
400,1999,WI,5353.08
401,1999,WV,103301.45
402,1999,WY,39686.200000000004
403,2000,AK,756379.2000000001
404,2000,AL,94067.4
405,2000,AR,29052.5
406,2000,AZ,92910.3
407,2000,CA,264670.8
408,2000,CO,131784.1
409,2000,CT,492.3
410,2000,DE,65.0
411,2000,FL,266004.8
412,2000,GA,63509.71
413,2000,HI,5669.6
414,2000,IA,1734.7
415,2000,ID,1350786.48
416,2000,IL,597.2
417,2000,IN,707.9
418,2000,KS,9219.8
419,2000,KY,136220.6
420,2000,LA,91109.5
421,2000,MA,5.8
422,2000,MD,209.7
423,2000,ME,445.98
424,2000,MI,6010.9
425,2000,MN,69170.17
426,2000,MO,17134.3
427,2000,MS,53459.2
428,2000,MT,822830.3099999999
429,2000,NC,38848.0
430,2000,ND,18171.7
431,2000,NE,116094.001
432,2000,NH,132.26
433,2000,NJ,2016.5
434,2000,NM,526543.459
435,2000,NV,648744.2
436,2000,NY,1497.78
437,2000,OH,370.4
438,2000,OK,135159.8
439,2000,OR,365429.38
440,2000,PA,356.7
441,2000,SC,25197.3
442,2000,SD,355266.064
443,2000,TN,75996.2
444,2000,TX,225478.3
445,2000,UT,227486.0
446,2000,VA,32191.8
447,2000,WA,291332.6
448,2000,WI,7014.37
449,2000,WV,50401.3
450,2000,WY,367712.3
451,2001,AK,219924.5
452,2001,AL,39095.1
453,2001,AR,16997.1
454,2001,AZ,35816.74
455,2001,CA,350140.5
456,2001,CO,24221.7
457,2001,CT,745.1
458,2001,DC,0.1
459,2001,DE,10.5
460,2001,FL,480111.5
461,2001,GA,59626.27
462,2001,HI,2352.15
463,2001,IA,85.0
464,2001,ID,192801.62
465,2001,IL,531.1
466,2001,IN,1167.6
467,2001,KS,2662.3
468,2001,KY,175179.4
469,2001,LA,26577.1
470,2001,MA,269.3
471,2001,MD,6849.1
472,2001,ME,2243.54
473,2001,MI,1430.249
474,2001,MN,23136.32
475,2001,MO,17070.6
476,2001,MS,32258.9
477,2001,MT,162549.09
478,2001,NC,44664.4
479,2001,ND,6567.3
480,2001,NE,2473.5519999999997
481,2001,NH,152.81
482,2001,NJ,4410.2
483,2001,NM,70554.31
484,2001,NV,598503.2
485,2001,NY,7118.24
486,2001,OH,1941.9
487,2001,OK,51616.7
488,2001,OR,389247.23
489,2001,PA,4472.7
490,2001,SC,36528.0
491,2001,SD,55260.743
492,2001,TN,62141.1
493,2001,TX,92226.2
494,2001,UT,124083.65
495,2001,VA,20906.1
496,2001,WA,223780.1
497,2001,WI,1364.55
498,2001,WV,97542.6
499,2001,WY,66991.0
500,2002,AK,2186646.0
501,2002,AL,38696.0
502,2002,AR,15770.8
503,2002,AZ,629739.34
504,2002,CA,515860.0
505,2002,CO,479123.75
506,2002,CT,188.66
507,2002,DC,1.0
508,2002,DE,1270.1
509,2002,FL,61954.9
510,2002,GA,166881.32
511,2002,HI,7013.7
512,2002,IA,267.0
513,2002,ID,86211.15
514,2002,IL,100.8
515,2002,IN,766.2
516,2002,KS,65544.0
517,2002,KY,25847.4
518,2002,LA,24685.3
519,2002,MA,512.1
520,2002,MD,1786.1
521,2002,ME,784.0500000000001
522,2002,MI,967.4
523,2002,MN,64357.79
524,2002,MO,20534.7
525,2002,MS,34410.3
526,2002,MT,126100.33
527,2002,NC,29622.0
528,2002,ND,52819.4
529,2002,NE,10095.06
530,2002,NH,158.75
531,2002,NJ,5791.75
532,2002,NM,321163.17
533,2002,NV,53172.2
534,2002,NY,4001.53
535,2002,OH,348.0
536,2002,OK,58766.4
537,2002,OR,1011073.62
538,2002,PA,3173.793759
539,2002,PR,55.0
540,2002,SC,45485.6
541,2002,SD,118526.794
542,2002,TN,13353.7
543,2002,TX,43773.6
544,2002,UT,239124.41
545,2002,VA,19874.9
546,2002,VT,4.8
547,2002,WA,91469.27
548,2002,WI,2600.56
549,2002,WV,10802.4
550,2002,WY,132867.5
551,2003,AK,601674.01
552,2003,AL,20653.47
553,2003,AR,25986.17
554,2003,AZ,200010.72
555,2003,CA,1033343.25
556,2003,CO,45609.91
557,2003,CT,137.0
558,2003,DE,265.3
559,2003,FL,46211.12
560,2003,GA,11517.38
561,2003,HI,24297.6
562,2003,IA,3333.0
563,2003,ID,336103.11
564,2003,IL,1596.95
565,2003,IN,1424.0
566,2003,KS,8034.2
567,2003,KY,19848.8
568,2003,LA,17359.8
569,2003,MA,393.0
570,2003,MD,1373.1
571,2003,ME,858.4
572,2003,MI,7065.059
573,2003,MN,156764.72
574,2003,MO,3276.02
575,2003,MS,24744.25
576,2003,MT,750196.31018
577,2003,NC,8103.1
578,2003,ND,25500.9
579,2003,NE,3316.35
580,2003,NH,89.55
581,2003,NJ,956.0
582,2003,NM,235611.075
583,2003,NV,17385.95
584,2003,NY,3894.27
585,2003,OH,1829.694
586,2003,OK,100423.35
587,2003,OR,169621.16999999998
588,2003,PA,2082.12558
589,2003,PR,18886.41
590,2003,SC,6721.85
591,2003,SD,81492.56
592,2003,TN,1612.2
593,2003,TX,54094.15
594,2003,UT,122967.76
595,2003,VA,5577.7
596,2003,VT,8.2
597,2003,WA,199540.61
598,2003,WI,9084.332
599,2003,WV,8380.35
600,2003,WY,91933.0
601,2004,AK,6591868.60019
602,2004,AL,46853.04
603,2004,AR,23646.47
604,2004,AZ,229747.83
605,2004,CA,300885.27
606,2004,CO,33795.28
607,2004,CT,73.25
608,2004,DE,140.7
609,2004,FL,204098.22
610,2004,GA,35208.72996
611,2004,HI,3901.3
612,2004,IA,1110.5
613,2004,ID,19021.8
614,2004,IL,875.61
615,2004,IN,785.71
616,2004,KS,10179.7
617,2004,KY,22712.55
618,2004,LA,15114.5
619,2004,MA,197.8
620,2004,MD,6338.5
621,2004,ME,803.71
622,2004,MI,2745.13
623,2004,MN,45646.95
624,2004,MO,8217.49
625,2004,MS,41803.42
626,2004,MT,22868.07
627,2004,NC,16701.6
628,2004,ND,19749.89
629,2004,NE,3652.07
630,2004,NH,232.38
631,2004,NJ,503.55
632,2004,NM,91896.73
633,2004,NV,41767.1
634,2004,NY,2700.18
635,2004,OH,227.82
636,2004,OK,70082.7
637,2004,OR,30383.74
638,2004,PA,2766.42199
639,2004,PR,9274.29
640,2004,SC,23390.7
641,2004,SD,14652.8
642,2004,TN,2466.75
643,2004,TX,34553.4
644,2004,UT,85485.44
645,2004,VA,3231.6
646,2004,VT,15.7
647,2004,WA,93797.8
648,2004,WI,2354.912
649,2004,WV,6097.3
650,2004,WY,23946.17
651,2005,AK,4635898.652
652,2005,AL,43207.97
653,2005,AR,40433.19
654,2005,AZ,902847.08999
655,2005,CA,263961.76
656,2005,CO,39413.54
657,2005,CT,254.75
658,2005,DC,0.2
659,2005,DE,167.4
660,2005,FL,39661.57
661,2005,GA,19453.99
662,2005,HI,45629.600000000006
663,2005,IA,6502.1
664,2005,ID,648908.221
665,2005,IL,980.55
666,2005,IN,575.5
667,2005,KS,22922.5
668,2005,KY,57942.935
669,2005,LA,66385.102
670,2005,MA,830.7
671,2005,MD,4033.9
672,2005,ME,724.74
673,2005,MI,4516.812
674,2005,MN,22455.77
675,2005,MO,18188.81
676,2005,MS,55601.2
677,2005,MT,114587.86
678,2005,NC,16155.85
679,2005,ND,18726.1
680,2005,NE,6481.12
681,2005,NH,114.73
682,2005,NJ,1544.5
683,2005,NM,179194.535
684,2005,NV,1102037.05
685,2005,NY,5030.94
686,2005,OH,1072.343
687,2005,OK,337133.95
688,2005,OR,139377.28
689,2005,PA,4170.06701
690,2005,PR,28132.09
691,2005,RI,36.0
692,2005,SC,14747.145
693,2005,SD,42559.43901
694,2005,TN,24853.0
695,2005,TX,288851.35
696,2005,UT,252090.39
697,2005,VA,5424.54999
698,2005,VT,23.2
699,2005,WA,138874.15
700,2005,WI,6513.318
701,2005,WV,15436.4
702,2005,WY,26183.0
703,2006,AK,254513.8
704,2006,AL,79549.12
705,2006,AR,67939.81
706,2006,AZ,181501.38
707,2006,CA,819105.82
708,2006,CO,45893.759999999995
709,2006,CT,433.5
710,2006,DC,0.5
711,2006,FL,253303.43998
712,2006,GA,37917.18001
713,2006,HI,13496.15
714,2006,IA,5371.03
715,2006,ID,910786.471
716,2006,IL,273.2
717,2006,IN,987.35
718,2006,KS,80670.4
719,2006,KY,53632.32
720,2006,LA,41984.0
721,2006,MA,23.2
722,2006,MD,6832.5
723,2006,ME,1841.35
724,2006,MI,7831.17
725,2006,MN,76055.91
726,2006,MO,24197.16
727,2006,MS,131124.75
728,2006,MT,866652.06
729,2006,NC,23369.94999
730,2006,ND,23697.95
731,2006,NE,89062.505
732,2006,NH,291.239
733,2006,NJ,2829.25
734,2006,NM,546954.102
735,2006,NV,1358283.69
736,2006,NY,6770.53
737,2006,OH,1280.213
738,2006,OK,416573.42
739,2006,OR,500568.82
740,2006,PA,7880.1635799999995
741,2006,PR,11263.12
742,2006,RI,93.0
743,2006,SC,17646.26
744,2006,SD,197570.561
745,2006,TN,32782.8
746,2006,TX,1851459.6999899999
747,2006,UT,345550.761
748,2006,VA,23966.56001
749,2006,VT,5.95
750,2006,WA,398481.11
751,2006,WI,3074.506
752,2006,WV,16152.4
753,2006,WY,245299.11000000002
754,2007,AK,634466.1
755,2007,AL,56785.19
756,2007,AR,25684.32
757,2007,AZ,115184.33
758,2007,CA,1061554.3
759,2007,CO,14026.05
760,2007,CT,281.05
761,2007,DC,0.2
762,2007,DE,0.2
763,2007,FL,547914.93999
764,2007,GA,327460.01013
765,2007,HI,39675.15
766,2007,IA,841.563
767,2007,ID,2184656.24
768,2007,IL,830.9
769,2007,IN,2109.01
770,2007,KS,16736.71
771,2007,KY,65614.22
772,2007,LA,772.0
773,2007,MA,205.4
774,2007,MD,7314.8
775,2007,ME,496.72999999999996
776,2007,MI,23095.203999999998
777,2007,MN,164404.56
778,2007,MO,14246.45
779,2007,MS,52528.63
780,2007,MT,744542.86
781,2007,NC,50416.8
782,2007,ND,18860.9
783,2007,NE,20689.3245
784,2007,NH,145.49
785,2007,NJ,20647.6
786,2007,NM,143521.42001
787,2007,NV,946541.3
788,2007,NY,4139.01
789,2007,OH,827.72
790,2007,OK,56870.26
791,2007,OR,567205.89
792,2007,PA,1131.1865
793,2007,PR,24801.48
794,2007,RI,37.0
795,2007,SC,22275.6
796,2007,SD,81107.197
797,2007,TN,54314.83
798,2007,TX,135033.55
799,2007,UT,645219.05001
800,2007,VA,15894.49
801,2007,VT,10.75
802,2007,WA,264464.77
803,2007,WI,4452.04301
804,2007,WV,7519.69
805,2007,WY,94156.9
806,2008,AK,92477.59999999999
807,2008,AL,23247.09
808,2008,AR,11199.43
809,2008,AZ,113915.38
810,2008,CA,1433970.54
811,2008,CO,112023.63
812,2008,CT,2055.8
813,2008,DC,0.1
814,2008,FL,184477.96
815,2008,GA,25892.21998
816,2008,HI,6128.639999999999
817,2008,IA,1688.46
818,2008,ID,175190.36
819,2008,IL,939.89
820,2008,IN,143.4
821,2008,KS,81748.2
822,2008,KY,38915.15
823,2008,LA,24321.52732
824,2008,MA,848.5
825,2008,MD,2794.1
826,2008,ME,549.63
827,2008,MI,2612.92
828,2008,MN,21197.02
829,2008,MO,5933.76
830,2008,MS,36173.34
831,2008,MT,169869.3
832,2008,NC,82255.65001
833,2008,ND,29906.05
834,2008,NE,7784.8202
835,2008,NH,185.07
836,2008,NJ,3312.95
837,2008,NM,365494.54
838,2008,NV,79277.23
839,2008,NY,8120.94
840,2008,OH,484.235
841,2008,OK,144551.23
842,2008,OR,240911.43
843,2008,PA,7610.5693
844,2008,PR,618.1
845,2008,RI,91.0
846,2008,SC,17397.77998
847,2008,SD,41420.353
848,2008,TN,22644.47001
849,2008,TX,1493416.11999
850,2008,UT,34116.24
851,2008,VA,44093.05
852,2008,VT,18.7
853,2008,WA,117879.42
854,2008,WI,901.6320000000001
855,2008,WV,14352.45
856,2008,WY,102269.11
857,2009,AK,2949593.97
858,2009,AL,24875.739999999998
859,2009,AR,17775.74
860,2009,AZ,222084.76
861,2009,CA,465218.99
862,2009,CO,37723.96
863,2009,CT,244.83
864,2009,DC,0.5
865,2009,FL,144474.14001
866,2009,GA,17790.82998
867,2009,HI,11825.4
868,2009,IA,7948.952
869,2009,ID,23907.91
870,2009,IL,3263.4
871,2009,IN,109.10000000000001
872,2009,KS,38965.2
873,2009,KY,43494.91
874,2009,LA,35312.325157
875,2009,MA,1.0
876,2009,MD,4606.9
877,2009,ME,474.78000000000003
878,2009,MI,3209.4300000000003
879,2009,MN,11715.91
880,2009,MO,17994.88
881,2009,MS,26854.35
882,2009,MT,53706.39
883,2009,NC,19328.35
884,2009,ND,3314.1600000000003
885,2009,NE,11186.551
886,2009,NH,121.785
887,2009,NJ,1060.25
888,2009,NM,423158.58
889,2009,NV,28678.98
890,2009,NY,5237.41
891,2009,OH,4784.42
892,2009,OK,403834.45
893,2009,OR,89058.37
894,2009,PA,6203.11182
895,2009,PR,8870.36
896,2009,RI,50.63
897,2009,SC,30566.22
898,2009,SD,38708.7853
899,2009,TN,18139.07
900,2009,TX,585669.98
901,2009,UT,114442.582
902,2009,VA,8032.24
903,2009,VT,0.5
904,2009,WA,87063.29000000001
905,2009,WI,4142.174447
906,2009,WV,16504.0
907,2009,WY,23649.14
908,2010,AK,1137532.57
909,2010,AL,42078.47
910,2010,AR,34754.71
911,2010,AZ,87800.2
912,2010,CA,127905.22
913,2010,CO,51895.06
914,2010,CT,456.03000000000003
915,2010,DC,0.1
916,2010,DE,3.0
917,2010,FL,71298.6
918,2010,GA,23350.45
919,2010,HI,15213.82
920,2010,IA,2404.942
921,2010,ID,643868.16
922,2010,IL,2608.55
923,2010,IN,1570.1
924,2010,KS,25108.809999999998
925,2010,KY,60209.45
926,2010,LA,43720.1999
927,2010,MA,322.2
928,2010,MD,3580.6000000000004
929,2010,ME,296.79
930,2010,MI,12051.41
